Components,Runs,Result
C6+,Run 1,0.0323
C6+,Run 2,0.0346
C6+,Run 3,0.0346
C6+,Run 4,0.0343
C6+,Run 5,0.0338
Propane,Run 1,1.0037
Propane,Run 2,1.0074
Propane,Run 3,1.0095
Propane,Run 4,1.0115
Propane,Run 5,1.0138
i-Butane,Run 1,0.2962
i-Butane,Run 2,0.2983
i-Butane,Run 3,0.299
i-Butane,Run 4,0.2999
i-Butane,Run 5,0.3009
n-Butane,Run 1,0.3032
n-Butane,Run 2,0.3055
n-Butane,Run 3,0.3071
n-Butane,Run 4,0.3089
n-Butane,Run 5,0.3105
i-Pentane,Run 1,0.1031
i-Pentane,Run 2,0.1048
i-Pentane,Run 3,0.1058
i-Pentane,Run 4,0.1064
i-Pentane,Run 5,0.1072
n-Pentane,Run 1,0.103
n-Pentane,Run 2,0.1056
n-Pentane,Run 3,0.1076
n-Pentane,Run 4,0.1086
n-Pentane,Run 5,0.1104
Nitrogen,Run 1,2.5828
Nitrogen,Run 2,2.5861
Nitrogen,Run 3,2.5656
Nitrogen,Run 4,2.5526
Nitrogen,Run 5,2.5398
Methane,Run 1,89.8577
Methane,Run 2,89.8433
Methane,Run 3,89.8384
Methane,Run 4,89.8382
Methane,Run 5,89.84
CO2,Run 1,0.5175
CO2,Run 2,0.5189
CO2,Run 3,0.5203
CO2,Run 4,0.5217
CO2,Run 5,0.5238
Ethane,Run 1,5.2006
Ethane,Run 2,5.1955
Ethane,Run 3,5.2122
Ethane,Run 4,5.218
Ethane,Run 5,5.2201
