Tahun,Bulan,Kejadian Banjir,Train,Meninggal,Hilang,Terluka,Mendertia,Mengungsi,Rumah,Pendidikan,Kesehatan,Peribadatan,Fasum,Perkantoran,Jembatan,Pabrik,Kios
2019,Januari,104,1,84,9,76,"284,151","14,357","1,484",63,1,15,0,9,79,0,4
2019,Februari,127,1,12,2,4,"167,647","3,562","1,457",32,6,49,0,5,68,0,2
2019,Maret,139,1,113,82,965,"396,058","17,199","2,484",74,5,75,0,56,43,0,248
2019,April,187,1,36,8,35,"263,610","26,636","3,691",116,27,68,0,17,75,0,1
2019,Mei,34,1,1,0,1,"21,114","2,609",184,10,3,7,0,2,7,0,0
2019,Juni,65,1,8,0,3,"356,270","46,447","6,707",112,27,108,0,32,65,0,450
2019,Juli,11,1,1,0,0,"14,217",46,13,4,2,2,0,0,2,0,0
2019,Agustus,11,1,0,0,0,"1,712",85,57,3,3,2,0,3,5,0,0
2019,September,6,1,0,0,0,"1,495",0,0,10,1,3,0,0,0,0,2
2019,Oktober,18,1,1,0,0,"8,938",0,209,5,0,2,0,2,3,0,0
2019,November,19,1,0,0,1,"25,438","1,017",70,7,1,5,0,2,9,0,1
2019,Desember,93,1,7,3,3,"139,152","9,391",457,4,1,7,0,7,36,0,8
2020,Januari,197,1,57,0,13,"443,029","441,340","7,126",43,7,84,0,5,49,0,3
2020,Februari,283,1,19,1,7,"944,274","57,443",85,16,3,5,0,0,29,0,12
2020,Maret,134,1,4,2,5,"326,490","11,091","8,467",105,1,137,0,4,33,0,19
2020,April,117,1,6,4,1,"113,273",408,105,22,13,23,0,1,13,0,2
2020,Mei,156,1,5,1,0,"267,112","64,882",154,120,33,158,0,16,77,0,39
2020,Juni,103,1,4,0,3,"285,659","14,470","2,646",22,5,4,0,7,20,0,10
2020,Juli,87,1,6,2,8,"287,583","71,706","2,050",115,43,151,0,32,31,0,29
2020,Agustus,26,1,0,0,1,"19,938","7,440","1,257",8,3,2,0,2,10,0,0
2020,September,74,1,9,1,20,"205,125","67,686","2,120",11,3,7,0,1,19,0,2
2020,Oktober,86,1,1,0,2,"304,251","6,463","1,353",34,11,35,0,0,36,0,0
2020,November,120,1,2,1,1,"221,021","2,110","2,861",8,0,8,0,2,10,0,46
2020,Desember,148,1,19,3,3,"425,959","36,015",600,7,1,11,0,1,6,0,0
2021,Januari,236,1,38,2,871,"1,154,027","195,136","21,777",586,126,496,1,196,47,0,0
2021,Februari,184,1,18,2,281,"1,394,631","127,876","1,485",27,5,37,1,7,9,0,0
2021,Maret,151,1,1,1,0,"570,534","2,094",988,7,1,15,0,4,30,0,10
2021,April,102,1,225,47,217,"626,443","63,908","59,960",279,127,264,1,123,147,0,15
2021,Mei,97,1,0,0,1,"260,273","1,482",506,1,0,2,0,1,3,1,0
2021,Juni,42,1,1,0,6,"77,179",115,162,0,0,0,0,0,3,0,7
2021,Juli,53,1,0,0,0,"159,528","5,561",125,2,0,2,0,0,13,0,0
2021,Agustus,27,1,0,0,6,"28,661",456,"3,421",7,2,2,6,3,3,0,0
2021,September,35,1,2,1,6,"1,329",375,"1,512",0,0,0,14,0,5,0,0
2021,Oktober,44,1,50,0,0,711,79,"1,130",0,0,0,0,0,1,0,0
2021,November,145,1,55,0,1,637,"7,788","3,349",1,1,0,22,1,160,1,0
2021,Desember,65,1,2,0,35,444,"1,822","4,342",3,0,0,4,0,4,0,2
2022,Januari,91,1,1,0,0,"4,754","1,204","1,104",2,1,4,4,1,15,0,0
2022,Februari,54,1,0,0,0,677,118,788,0,0,0,6,0,1,0,0
2022,Maret,88,1,0,0,4,"49,648","2,725",85,9,0,0,50,0,9,0,0
2022,April,25,1,0,0,0,"1,639","1,625",6,1,0,0,0,0,2,0,0
2022,Mei,21,0,0,0,1,"6,212",0,920,0,0,0,0,0,0,0,0
2022,Juni,46,0,0,0,3,"2,003",96,24,3,0,0,1,1,0,0,2
2022,Juli,25,0,0,0,0,300,894,353,1,0,0,0,1,0,0,0
2022,Agustus,20,0,1,0,0,"6,243",20,0,3,0,0,0,0,0,0,0
2022,September,41,0,2,0,1,"1,782",26,165,0,0,0,2,0,1,0,0
2022,Oktober,104,0,2,0,1,"4,298","2,058",444,11,0,1,6,1,11,0,0
2022,November,45,0,2,0,0,"5,857",696,24,3,0,2,2,0,5,0,2
2022,Desember,30,0,0,0,0,200,0,4,0,0,0,0,0,1,0,0
2023,Januari,23,0,4,0,0,"2,302",0,293,0,0,0,0,0,0,0,0
2023,Februari,16,0,0,0,0,0,10,14,0,0,0,0,0,1,0,0
2023,Maret,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Mei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Juni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Juli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Agustus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Oktober,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Desember,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
